insurgency_group,rtg_ffund,rtg_teraff,rtg_ccodecow,rtg_media,rtg_international,rtg_outnegrep,rtg_educcaus,rtg_logpop,rtg_left,rtg_intnegrep,rtg_pgood,rtg_propertycount,rtg_politics,rtg_govtargcount,rtg_endedtype,rtg_nmbrtrr,rtg_intposrep,rtg_nkillter,rtg_age,rtg_tcode,rtg_cleavage,rtg_logarea,rtg_loggdp,rtg_govcaus,rtg_rel,rtg_civcaus,rtg_nwound,rtg_civcausreal,rtg_eductargcount,rtg_rebel,rtg_nkill,rtg_terpwing,rtg_parterr,rtg_gname,rtg_peaksize,rtg_nat,rtg_broadgoal,rtg_logmil,rtg_endedtype2,rtg_reputation,rtg_frec,rtg_eductargexist,rtg_civtargcount,forge_splinterUCDP,forge_ethnic,forge_fightday,forge_ethnicity,forge_ccode,forge_ideolcom,forge_ideolright,forge_preorglab,forge_cname,forge_ideolnat,forge_preorgrel,forge_goalindep,forge_preorgfmr,forge_preorggov,forge_goalother,forge_preorg,forge_conflict_id,forge_foundloc,forge_splinter,forge_foundday,forge_preorgreb,forge_goaldem,forge_NSAdyadid,forge_preorgmvt,forge_ideolanti,forge_ideolrel,forge_gacronym,forge_fightyear,forge_goalrep,forge_foundmo,forge_ideolnote,forge_goalrights,forge_ideolleft,forge_preorgyou,forge_actorid,forge_preorgoth,forge_ideology,forge_preorgpar,forge_preorgmil,forge_merger,forge_dyadid,forge_goalchange,forge_goalnote,forge_gname,forge_preorgno,forge_goalauto,forge_ideoloth,forge_preorgname,forge_fightmo,forge_preorgfor,forge_preorgref,forge_religious,forge_religion,forge_preorgeth,forge_foundyear,forge_goalnominal,baad_terrcntrl,baad_torg,baad_fdrob,baad_fdkidnap,baad_lead_hierarch,baad_fddrugtk,baad_fdextort,baad_hb_iso_cc,baad_fdstate,baad_left,baad_hbccode,baad_fdsmuggl,baad_torg_year,baad_age,baad_org,baad_size_rec,baad_hbiso,baad_reli,baad_hbase,baad_ethn,baad_socsvcs,baad_year,baad_ucdpbd,mas_maxedu,mas_totalpopmin,mas_ethnic,mas_terrcontrol,mas_side_b,mas_location,mas_preconflict_health,mas_yearmin,mas_maxhealth,mas_communist,mas_yearmax,mas_preconflict_edu,gsw_target,gsw_wbcode,gsw_repression,gsw_lccode,gsw_year,gsw_location,gsw_campaign,gsw_cyear,war_id,war_acr,war_dyadperiod,war_terrcontrol,war_side_b,war_l1democracy,war_l1totalpop_log,war_confid,war_communist,war_side_a,war_year,war_location,war_ethnonsec,war_dyadid,war_obsid
ERP/ Monteneros,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.631649,1.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,0.0,2.0,People's Revolutionary Army (ERP),1.0,13.85348,8.84301,3.0,0.0,0.0,3.0,79.71429,0.0,0.0,3.0,0.0,1.0,People's Revolutionary Army (ERP),2.0,0.0,0.0,5.0039463,0.0,0.0,0.0,0.0,0.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,0.0,17.042744,0.0,0.0,ERP,Argentina,0.0,1973.0,0.0,0.0,1977.0,0.0,Argentina regime,ARG,3.0,160.0,1973.0,Argentina,ERP/ Monteneros,0.0,ARG-1973,ARG,1.0,0.0,ERP,0.0,17.02554,1500.2,0.0,Argentina,1973.0,Argentina,0.0,1500.2-1,EACD.2.2-292
East Gemany Worker Uprising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communist regime,DDR,3.0,265.0,1953.0,East Germany,East Gemany Worker Uprising,0.0,,,,,,,,,,,,,,,
East Germany pro-dem movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communist regime,DDR,2.0,265.0,1989.0,East Germany,East Germany pro-dem movement,0.0,,,,,,,,,,,,,,,
Ethniki Organosis Kyprios Agoniston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,2.0,13.185807,0.0,0.0,EOKA,Cyprus,0.0,1955.0,0.0,0.0,1959.0,0.0,British occupation,CYP,0.0,352.0,1954.0,Cyprus,Ethniki Organosis Kyprios Agoniston,0.0,UKG-1955,UKG,1.0,0.0,EOKA,,13.171477,1510,0.0,United Kingdom,1955.0,Cyprus,0.0,1510-1,EACD.2.2-301
"FLOSY, NLF in Aden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,0.0,15.668398,0.0,0.0,FLOSY,South Yemen,0.0,1964.0,0.0,0.0,1967.0,0.0,UK occupation,YEM,2.0,678.0,1963.0,Yemen,"FLOSY, NLF in Aden",0.0,UKG-1964,UKG,1.0,0.0,FLOSY,,15.647805,1890,0.0,United Kingdom,1964.0,South Yemen,0.0,1890-2,EACD.2.2-553
Former Rebel Leaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Bella regime,DZA,3.0,615.0,1962.0,Algeria,Former Rebel Leaders,0.0,,,,,,,,,,,,,,,
Franco-Madagascan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French occupation,MDG,3.0,580.0,1947.0,Madagascar,Franco-Madagascan,0.0,,,,,,,,,,,,,,,
Freitilin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesian occupation,IDN,0.0,850.0,1974.0,East Timor,Freitilin,0.0,,,,,,,,,,,,,,,
Frolinat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,0.0,15.022834,0.0,,FROLINAT,Chad,,1965.0,0.0,1.0,1989.0,,Chadian government,TCD,3.0,483.0,1966.0,Chad,Frolinat,0.0,CHA-1965,CHA,1.0,,FROLINAT,0.0,15.000716,1910,1.0,Chad,1965.0,Chad,0.0,1910-1,EACD.2.2-577
Front for the Liberation of Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portuguese occupation,MOZ,3.0,541.0,1963.0,Mozambique,Front for the Liberation of Mozambique,0.0,,,,,,,,,,,,,,,
Hukbalahap Rebellion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,3.0,,0.0,1.0,Huk,Philippines,0.0,1946.0,1.0,1.0,1954.0,1.0,Filipino government,PHL,3.0,840.0,1946.0,Philippines,Hukbalahap Rebellion,0.0,PHI-1946,PHI,1.0,1.0,Huk,,,1100.1,1.0,Philippines,1946.0,Philippines,0.0,1100.1-1,EACD.2.2-43
Hundred Flowers Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communist regime,CHN,0.0,710.0,1956.0,China,Hundred Flowers Movement,0.0,,,,,,,,,,,,,,,
Hungary Anti-Communist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communist regime,HUN,2.0,265.0,1956.0,Hungary,Hungary Anti-Communist,0.0,,,,,,,,,,,,,,,
Hungary Anti-Soviet Occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soviet occupation,HUN,3.0,310.0,1956.0,Hungary,Hungary Anti-Soviet Occupation,0.0,,,,,,,,,,,,,,,
Hungary pro-dem movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communist regime,HUN,0.0,310.0,1989.0,Hungary,Hungary pro-dem movement,0.0,,,,,,,,,,,,,,,
Hyderabad activists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian annexation,IND,3.0,750.0,1948.0,India,Hyderabad activists,0.0,,,,,,,,,,,,,,,
Ifni war,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish occupation,MAR,3.0,600.0,1957.0,Morocco,Ifni war,0.0,,,,,,,,,,,,,,,
Indian resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,government of Guatemala,GTM,,90.0,1966.0,Guatemala,Indian resistance,0.0,,,,,,,,,,,,,,,
Indochina revolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French occupation,VNM,3.0,818.0,1945.0,Vietnam,Indochina revolt,0.0,,,,,,,,,,,,,,,
Indonesian Revolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch occupation,IDN,3.0,850.0,1945.0,Indonesia,Indonesian Revolt,0.0,,,,,,,,,,,,,,,
Indonesian leftists / Anti Sukarno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sukarno regime,IDN,0.0,850.0,1956.0,Indonesia,Indonesian leftists / Anti Sukarno,0.0,,,,,,,,,,,,,,,
Iranian Mujahideen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khomenei regime,IRN,3.0,630.0,1981.0,Iran,Iranian Mujahideen,0.0,,,,,,,,,,,,,,,
Iranian Revolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shah Reza Pahlavi,IRN,0.0,630.0,1977.0,Iran,Iranian Revolution,0.0,,,,,,,,,,,,,,,
Iraqi insurgency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iraqi government,IRQ,2.0,645.0,2003.0,Iraq,Iraqi insurgency,0.0,,,,,,,,,,,,,,,
Jewish resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British occupation,PSE,2.0,665.0,1945.0,Palestinian Territories,Jewish resistance,0.0,,,,,,,,,,,,,,,
KDPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,3.0,17.45585,1.0,0.0,KDPI,Iran,0.0,1979.0,0.0,1.0,1993.0,1.0,Iranian regime,IRN,3.0,630.0,1979.0,Iran,KDPI,0.0,IRN-1979,IRN,1.0,0.0,KDPI,0.0,17.41987,1060.2,1.0,Iran,1979.0,Iran,0.0,1060.2-1,EACD.2.2-28
